name,ret_pct,alpha_pct,mdd_pct,c_pf,p_pf,short_close_pnl,short_stop_pnl,short_stop_n,trend_ss100_spot_pnl,worst_month_pnl,trades
F_hs28_lvt15,918.46,93201.0,-8.05,1.07,2.15,-35467.09,-191857.75,23,-28125.88,-9203.85,855
B_hs28,918.26,93181.0,-8.05,1.06,2.15,-36615.6,-191857.75,23,-28128.2,-9203.85,855
G_hs28_lvt25,917.44,93100.0,-8.05,1.07,2.15,-36382.41,-191857.75,23,-28078.93,-9203.85,855
H_hs28_neu_lvt15,898.08,91163.0,-8.0,1.06,2.14,-39106.13,-191991.78,23,-27577.11,-9203.85,848
C_hs27,911.32,92487.0,-8.03,1.04,2.12,-44124.37,-202213.38,24,-28128.15,-9203.85,856
I_hs28_neu_lvt25,880.38,89393.0,-7.94,1.08,2.12,-33370.28,-199219.71,24,-27055.91,-9203.85,828
A_base_hs30,911.66,92521.0,-8.03,1.03,2.11,-49171.22,-208829.62,25,-27858.24,-9203.85,855
E_hs25,900.42,91397.0,-8.0,1.02,2.08,-53085.81,-211090.08,25,-27828.45,-9203.85,856
D_hs26,898.31,91187.0,-7.99,1.02,2.08,-52039.41,-210894.72,25,-27346.24,-9203.85,855
